,Unnamed: 0,FIPS,State,County,Year,n_crops,area_km2,Month,corn_bu_production_t,corn_tons_production_t,cotton_production_t,oats_production_t,peanuts_production_t,rice_production_t,soybeans_production_t,wheat_production_t
159,247,US36121,NEW YORK,WYOMING,2021,4,1515.9040249607046,4,105135.57892063032,541589.9338661538,,1770.826718436737,,,6803.893641534595,
160,248,US20087,KANSAS,JEFFERSON,2020,4,1377.951610354802,8,189111.9558019069,,,107.41080095435947,,,63112.91741887491,1004.2547014905062
161,249,US17037,ILLINOIS,DE KALB,2022,5,1644.8547805290843,8,1038858.3973655323,,,3802.922952708403,,,231550.10840870536,11648.265914307229
162,250,US37015,NORTH CAROLINA,BERTIE,2024,4,1774.9011263630698,6,22480.064591630304,,17004.29098892326,,21291.651168908928,,33175.78539612269,
163,251,US13273,GEORGIA,TERRELL,2021,4,875.6048534356172,9,89539.24032259527,,8992.025836652121,,19622.42926218577,,2830.419754878392,
164,252,US20103,KANSAS,LEAVENWORTH,2022,4,1207.6743709751306,7,65636.70836697481,,,105.95930364416544,,,38156.23554172601,2228.9555569667336
165,253,US17005,ILLINOIS,BOND,2022,4,1000.9757964005034,4,349190.3366566574,,,,,,133002.51290471829,18207.21938474658
166,254,US37191,NORTH CAROLINA,WAYNE,2024,4,1445.7253956389366,10,33148.56982155655,,2081.447142818264,,12655.242173254348,,52743.78350917618,
167,256,US27085,MINNESOTA,MCLEOD,2021,4,1311.0325635717509,6,550621.8758788363,,,404.9677495441391,,,125572.6610481625,1387.9943028730574
168,257,US05067,ARKANSAS,JACKSON,2022,5,1707.7321013025148,10,69878.70925601691,,2961.054512795856,,,259455.144197186,111066.75980441074,12764.104471518902
169,258,US29143,MISSOURI,NEW MADRID,2023,5,1788.1526713238711,7,313908.0657891156,,63793.30678302837,,,71395.5239451697,266494.906151627,16274.913590550752
170,260,US13131,GEORGIA,GRADY,2023,4,1194.3670503403414,5,37568.37913109742,,9449.247489363246,,19967.15987335686,,4163.982908619172,
171,261,US05095,ARKANSAS,MONROE,2020,5,1617.3591142356115,4,88802.6054376718,,7228.456604766354,,,154493.7449537789,109243.31630847948,1687.3656231005798
172,262,US17041,ILLINOIS,DOUGLAS,2024,4,1080.7236539480268,8,622075.4597164138,,,164.0191960519273,,,215465.7038401176,
173,263,US26155,MICHIGAN,SHIAWASSEE,2023,4,1400.343444842344,7,204708.29439994195,,,801.226515227114,,,100507.11687274904,46810.788253758015
174,264,US13253,GEORGIA,SEMINOLE,2024,4,663.563331464837,6,50853.20826264844,,12083.715107365442,,43254.6198437826,,4408.923079714418,
175,265,US17037,ILLINOIS,DE KALB,2022,5,1644.8547805290843,5,1038858.3973655323,,,3802.922952708403,,,231550.10840870536,11648.265914307229
